id,kind,duration_s,baseline_nonzero,baseline_abs_sum,baseline_sign_switches,baseline_guard_frames,baseline_guard_occupancy,baseline_trigger_delay_s,baseline_recovery_delay_s,baseline_early50_nonzero,baseline_early50_abs_sum,baseline_early100_nonzero,baseline_early100_abs_sum,baseline_early150_nonzero,baseline_early150_abs_sum,candidate_nonzero,candidate_abs_sum,candidate_sign_switches,candidate_guard_frames,candidate_guard_occupancy,candidate_trigger_delay_s,candidate_recovery_delay_s,candidate_early50_nonzero,candidate_early50_abs_sum,candidate_early100_nonzero,candidate_early100_abs_sum,candidate_early150_nonzero,candidate_early150_abs_sum
squat_01,squat,1.3333281229646996,16,708.652,1,0,0.0,,0.0,0,0.0,0,0.0,1,14.0,16,708.652,1,0,0.0,,0.0,0,0.0,0,0.0,1,14.0
squat_02,squat,1.366661326038817,20,972.695,1,0,0.0,,0.0,2,109.56800000000001,3,164.21,3,164.21,20,972.695,1,0,0.0,,0.0,2,109.56800000000001,3,164.21,3,164.21
squat_03,squat,1.0666624983717596,18,838.057,0,0,0.0,,0.0,0,0.0,2,111.60300000000001,3,165.898,18,838.057,0,0,0.0,,0.0,0,0.0,2,111.60300000000001,3,165.898
squat_04,squat,0.8666632799270547,2,70.0,0,0,0.0,,0.0,0,0.0,0,0.0,0,0.0,2,70.0,0,0,0.0,,0.0,0,0.0,0,0.0,0,0.0
calf_back_01,calf_back,1.1333289045199946,0,0.0,0,27,0.7941176470588235,0.23300000000000054,0.1670000000000016,0,0.0,0,0.0,0,0.0,0,0.0,0,27,0.7941176470588235,0.23300000000000054,0.1670000000000016,0,0.0,0,0.0,0,0.0
calf_back_02,calf_back,1.3999945291129345,9,472.0,1,20,0.47619047619047616,0.36599999999999966,0.0,0,0.0,2,70.0,3,126.0,9,472.0,1,20,0.47619047619047616,0.36599999999999966,0.0,0,0.0,2,70.0,3,126.0
calf_back_03,calf_back,1.4333277321870521,22,1033.214,0,14,0.32558139534883723,0.3000000000000007,0.0,2,65.988,4,148.406,4,148.406,22,1033.214,0,15,0.3488372093023256,0.3000000000000007,0.0,2,65.988,4,148.406,4,148.406
calf_back_04,calf_back,1.5333273414094044,27,1382.0,1,0,0.0,,0.0,1,14.0,3,84.0,4,140.0,27,1382.0,1,0,0.0,,0.0,1,14.0,3,84.0,4,140.0
hands_cross_01,hands_cross,1.1333289045199946,0,0.0,0,0,0.0,,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,,0.0,0,0.0,0,0.0,0,0.0
hands_cross_02,hands_cross,1.1333289045199946,14,565.819,0,0,0.0,,0.0,0,0.0,0,0.0,0,0.0,14,565.819,0,0,0.0,,0.0,0,0.0,0,0.0,0,0.0
hands_cross_03,hands_cross,1.3333281229646996,11,520.327,0,0,0.0,,0.0,0,0.0,0,0.0,0,0.0,11,520.327,0,0,0.0,,0.0,0,0.0,0,0.0,0,0.0
hands_cross_04,hands_cross,1.2666617168164647,5,213.025,0,0,0.0,,0.0,0,0.0,0,0.0,0,0.0,5,213.025,0,0,0.0,,0.0,0,0.0,0,0.0,0,0.0
cross_knee_elbow_01,cross_knee_elbow,1.4666609352611695,8,296.76099999999997,2,21,0.4772727272727273,0.5,0.0,1,47.774,1,47.774,1,47.774,8,296.76099999999997,2,23,0.5227272727272727,0.43299999999999983,0.0,1,47.774,1,47.774,1,47.774
cross_knee_elbow_02,cross_knee_elbow,1.833326169076462,17,825.0,1,24,0.43636363636363634,0.5999999999999943,0.0,2,116.0,4,232.0,5,290.0,15,727.0,1,26,0.4727272727272727,0.5339999999999989,0.0,2,116.0,4,232.0,5,290.0
cross_knee_elbow_03,cross_knee_elbow,1.4333277321870521,7,286.0,1,29,0.6744186046511628,0.4339999999999975,0.0,2,116.0,3,174.0,3,174.0,5,244.0,1,31,0.7209302325581395,0.36700000000000443,0.0,2,116.0,3,174.0,3,174.0
cross_knee_elbow_04,cross_knee_elbow,1.4333277321870521,9,322.856,0,23,0.5348837209302325,0.29999999999999716,0.0,2,56.876000000000005,4,127.489,5,182.856,9,322.856,0,25,0.5813953488372093,0.2670000000000101,0.0,2,56.876000000000005,4,127.489,5,182.856
