id,kind,c25_nonzero,c25_abs,c25_guard,c25_first50,c25_first100,c25_first150,c26_nonzero,c26_abs,c26_guard,c26_first50,c26_first100,c26_first150
squat_01,squat,5,280.371,0,0,0,0,2,110.62700000000001,0,0,0,0
squat_02,squat,6,298.695,0,2,3,3,6,298.695,0,2,3,3
squat_03,squat,0,0.0,0,0,0,0,0,0.0,0,0,0,0
squat_04,squat,0,0.0,0,0,0,0,0,0.0,0,0,0,0
calf_back_01,calf_back,0,0.0,27,0,0,0,0,0.0,27,0,0,0
calf_back_02,calf_back,5,258.0,20,0,1,1,5,258.0,20,0,1,1
calf_back_03,calf_back,21,989.0,14,2,3,3,21,989.0,14,2,3,3
calf_back_04,calf_back,18,862.0,0,1,2,3,14,630.0,0,1,2,3
hands_cross_01,hands_cross,0,0.0,0,0,0,0,0,0.0,0,0,0,0
hands_cross_02,hands_cross,4,154.471,0,0,0,0,4,154.471,0,0,0,0
hands_cross_03,hands_cross,8,436.327,0,0,0,0,8,436.327,0,0,0,0
hands_cross_04,hands_cross,0,0.0,0,0,0,0,0,0.0,0,0,0,0
cross_knee_elbow_01,cross_knee_elbow,4,156.761,23,1,1,1,4,156.761,23,1,1,1
cross_knee_elbow_02,cross_knee_elbow,6,332.326,26,2,2,2,5,278.062,26,2,2,2
cross_knee_elbow_03,cross_knee_elbow,0,0.0,31,0,0,0,0,0.0,31,0,0,0
cross_knee_elbow_04,cross_knee_elbow,1,56.0,24,0,0,0,1,56.0,24,0,0,0
