id,kind,start_s,end_s,c1_nonzero,c2_nonzero,c1_abs,c2_abs,c1_switches,c2_switches,c1_first50_nz,c2_first50_nz,c1_first100_nz,c2_first100_nz,c1_first150_nz,c2_first150_nz
squat_01,squat,11.633287872867005,12.966615995831704,16,8,708.652,364.371,1,0,0,0,0,0,1,0
squat_02,squat,13.233281620424645,14.599942946463461,20,12,972.695,600.695,1,1,2,2,3,3,3,3
squat_03,squat,15.133274195649342,16.1999366940211,18,4,838.057,166.802,0,0,0,0,1,1,3,1
squat_04,squat,17.13326638009639,17.999929660023447,2,2,70.0,70.0,0,0,0,0,0,0,0,0
calf_back_01,calf_back,22.06658043506578,23.199909339585773,0,0,0.0,0.0,0,0,0,0,0,0,0,0
calf_back_02,calf_back,23.566574573401066,24.966569102514,9,8,472.0,430.0,1,1,0,0,1,1,3,2
calf_back_03,calf_back,25.066568711736355,26.499896443923404,22,22,1033.214,1033.214,0,0,2,2,3,3,4,4
calf_back_04,calf_back,26.666562459293992,28.1998898007034,27,25,1382.0,1268.0,1,1,1,1,2,2,4,3
hands_cross_01,hands_cross,39.96651048586687,41.09983939038687,0,0,0.0,0.0,0,0,0,0,0,0,0,0
hands_cross_02,hands_cross,41.86650306109157,42.99983196561156,14,5,565.819,194.202,0,0,0,0,0,0,0,0
hands_cross_03,hands_cross,43.66649602709391,44.999824150058615,11,11,520.327,520.327,0,0,0,0,0,0,0,0
hands_cross_04,hands_cross,45.43315579002214,46.699817506838606,5,1,213.025,47.825,0,0,0,0,0,0,0,0
cross_knee_elbow_01,cross_knee_elbow,51.23313312491859,52.699794060179755,8,5,296.76099999999997,170.761,2,0,1,1,1,1,1,1
cross_knee_elbow_02,cross_knee_elbow,61.066428031783246,62.89975420085971,15,12,727.0,657.0,1,1,2,2,3,3,5,5
cross_knee_elbow_03,cross_knee_elbow,70.06639286179497,71.49972059398202,5,2,244.0,116.0,1,0,2,2,3,2,3,2
cross_knee_elbow_04,cross_knee_elbow,79.66635534714081,81.09968307932786,9,5,322.856,195.367,0,0,2,0,3,0,5,1
